AC,164117
AL,27842
AM,1559130
AP,142823
BA,564746
CE,148885
DF,5779
ES,46085
GO,340115
MA,331937
MG,586502
MS,357128
MT,903407
PA,1247940
PB,56435
PE,98079
PI,251615
PR,199308
RJ,43782
RN,52810
RO,237598
RR,224285
RS,281716
SC,95732
SE,21920
SP,248214
TO,277720
